titre,url,difficulte,type,duree_min,utilisateurs,publie,point_de_vue,competences,technologies,outils,description
Traffic Analysis Essentials,https://tryhackme.com/room/trafficanalysisessentials,easy,walkthrough,30,104290,2022-11-05,Blue,Incident response; Network monitoring; Network security engineering; Network traffic analysis; Network troubleshooting; Security operations,,,Learn Network Security and Traffic Analysis foundations and take a step into probing network anomalies.
Advent of Cyber 2023,https://tryhackme.com/room/adventofcyber2023,easy,walkthrough,1440,103709,2023-12-24,Purple,Digital forensics; Exploitation; Penetration testing; Vulnerability analysis,Linux; Web; Windows,CeWL; Hydra; Metasploit Framework; nc,"Get started with Cyber Security in 24 Days - Learn the basics by doing a new, beginner friendly security challenge every day leading up to Christmas."
Become a Hacker,https://tryhackme.com/room/becomeahackeroa,easy,walkthrough,20,103040,2023-06-06,Red,Penetration testing; Red teaming,Linux,Gobuster; Hydra,Learn how TryHackMe can help you become a hacker.
SOC L1 Alert Triage,https://tryhackme.com/room/socl1alerttriage,easy,walkthrough,60,103002,2025-04-10,Blue,Incident handling; Incident management; Security analysis,,,Learn more about SOC alerts and build a systematic approach to efficiently triaging them.
Agent Sudo,https://tryhackme.com/room/agentsudoctf,easy,challenge,45,102737,2019-10-30,Red,Network security engineering; Penetration testing,Linux; Web,,You found a secret server located under the deep sea. Your task is to hack inside the server and reveal the truth.
Linux CLI - Shells Bells,https://tryhackme.com/room/linuxcli-aoc2025-o1fpqkvxti,easy,walkthrough,30,98521,2025-12-01,Blue,Log analysis; Scripting,Linux,,Explore the Linux command-line interface and use it to unveil Christmas mysteries.
Ice,https://tryhackme.com/room/ice,easy,walkthrough,45,98027,2020-01-10,Red,Network penetration testing; Penetration testing; Red teaming,Windows,Metasploit Framework; Mimikatz; Nmap,"Deploy & hack into a Windows machine, exploiting a very poorly secured media server."
Advent of Cyber 2022,https://tryhackme.com/room/adventofcyber4,easy,walkthrough,1440,97004,2022-12-23,Purple,Digital forensics; Exploitation; Penetration testing; Security analysis; Vulnerability analysis,Linux; Web; Windows,Hydra; Metasploit Framework; Nikto; Nmap; Wireshark,"Get started with Cyber Security in 24 Days - learn the basics by doing a new, beginner-friendly security challenge every day leading up to Christmas."
DFIR: An Introduction,https://tryhackme.com/room/introductoryroomdfirmodule,easy,walkthrough,90,96771,2022-10-15,Blue,Digital forensics; Incident management; Incident response,Linux; Windows,Autopsy; Redline; Volatility,Introductory room for the DFIR module
Overpass,https://tryhackme.com/room/overpass,easy,challenge,45,96455,2020-07-17,Red,Penetration testing; Vulnerability analysis,Linux; Web,,What happens when some broke CompSci students make a password manager?
W1seGuy,https://tryhackme.com/room/w1seguy,easy,challenge,30,95192,2024-06-21,Red,Code review,Linux,,"A w1se guy 0nce said, the answer is usually as plain as day."
History of Malware,https://tryhackme.com/room/historyofmalware,info,walkthrough,30,91820,2020-10-04,Purple,Red teaming; Security analysis,,,Join this room to learn about the first forms of malware and how they turned into the malicious code we see today.
MAL: Malware Introductory,https://tryhackme.com/room/malmalintroductory,easy,walkthrough,45,91801,2020-03-21,Blue,Incident response; Malware analysis; Security analysis; Vulnerability analysis,Windows,Dependency Walker; PE Explorer; PEview; ResourceHacker,The start of a series of rooms covering Malware Analysis...
Sakura Room,https://tryhackme.com/room/sakura,easy,challenge,45,90550,2021-04-11,Purple,Security operations,,,Use a variety of OSINT techniques to solve this room created by the OSINT Dojo.
The CIA Triad,https://tryhackme.com/room/theciatriad,easy,walkthrough,30,90171,2026-02-17,Purple,,,,Understand the CIA Triad and how it shapes cyber security mindset.
SOC L1 Alert Reporting,https://tryhackme.com/room/socl1alertreporting,easy,walkthrough,60,89179,2025-04-17,Blue,Incident handling; Incident management; Security analysis,,,"Learn how to properly report, escalate, and communicate about high-risk SOC alerts."
Data Representation,https://tryhackme.com/room/datarepresentation,easy,walkthrough,45,89061,2026-02-12,,,,,Learn about how computers represent numbers and colors.
Lookup,https://tryhackme.com/room/lookup,easy,challenge,60,88775,2024-11-22,Purple; Red,Application penetration testing; Application security engineering; Network penetration testing; Penetration testing; Red teaming; Threat hunting; Vulnerability analysis,Linux; Web,Burp Suite; Dirbuster; Gobuster; Hashcat; John the Ripper; LinPeas; Metasploit Framework; Nmap; Zap; dirb; nc,Test your enumeration skills on this boot-to-root machine.
Training Impact on Teams,https://tryhackme.com/room/training,info,walkthrough,30,87421,2024-10-21,Blue; Purple; Red,,,,Discover the impact of training on teams and organisations.
LazyAdmin,https://tryhackme.com/room/lazyadmin,easy,challenge,45,87330,2019-11-28,Red,Penetration testing; Red teaming,Linux; Web,Ncat,Easy linux machine to practice your skills
Wifi Hacking 101,https://tryhackme.com/room/wifihacking101,easy,walkthrough,45,86472,2020-01-16,Red,Network penetration testing; Penetration testing; Red teaming,,,"Learn to attack WPA(2) networks! Ideally you'll want a smartphone with you for this, preferably one that supports hosting wifi hotspots so you can follow along."
c4ptur3-th3-fl4g,https://tryhackme.com/room/c4ptur3th3fl4g,easy,challenge,45,86370,2019-05-21,Purple,Digital forensics; Security analysis,,,A beginner level CTF challenge
Guided Pentest: Web,https://tryhackme.com/room/guidedpentestweb,easy,walkthrough,60,85056,2026-05-21,Red,Application penetration testing,Web,Gobuster; Nmap,Learn web app pentesting by chaining vulnerabilities from recon to full server compromise.
Data Encoding,https://tryhackme.com/room/dataencoding,easy,walkthrough,45,84691,2026-02-12,,,,,"Learn how computer encodes characters, from ASCII to Unicode's UTF."
CyberChef: The Basics,https://tryhackme.com/room/cyberchefbasics,easy,walkthrough,60,83842,2024-10-21,Blue,Security analysis,,CyberChef,"This room is an introduction to CyberChef, the Swiss Army knife for cyber security professionals."
Intro to Endpoint Security,https://tryhackme.com/room/introtoendpointsecurity,easy,walkthrough,60,83473,2022-10-18,Blue,Digital forensics; Incident response; Security analysis; Security operations,Windows,Process Explorer; TCPVIEW; Wazuh,"Learn about fundamentals, methodology, and tooling for endpoint security monitoring."
Advent of Cyber 3 (2021),https://tryhackme.com/room/adventofcyber3,easy,walkthrough,1440,82375,2021-12-25,Purple,Digital forensics; Exploitation; Penetration testing; Vulnerability analysis,Linux; Web; Windows,Burp Suite; CyberChef; Nmap; Wireshark; dirb,"Get started with Cyber Security in 25 Days - Learn the basics by doing a new, beginner friendly security challenge every day leading up to Christmas."
Phishing - Merry Clickmas,https://tryhackme.com/room/phishing-aoc2025-h2tkye9fzU,easy,walkthrough,30,82293,2025-12-02,Red,Phishing,Linux,The Social-Engineer Toolkit (SET),Learn how to use the Social-Engineer Toolkit to send phishing emails.
Cryptography Concepts,https://tryhackme.com/room/cryptographyconcepts,easy,walkthrough,60,81023,2026-02-17,Purple,Cryptography,N/A,,This room provides an understanding of cryptography in our everyday digital encounters.
The Building Blocks of AI,https://tryhackme.com/room/aimlsecuritythreats,easy,walkthrough,30,80902,2025-07-08,Blue,,Artificial intelligence,,"Learn how AI, ML, neural networks, and LLMs actually work, from the ground up."
Red Team Threat Intel,https://tryhackme.com/room/redteamthreatintel,medium,walkthrough,60,80630,2022-01-11,Red,Cyber threat intelligence; Documentation; Information gathering; Red teaming,,MITRE ATT&CK Framework,Apply threat intelligence to red team engagements and adversary emulation.
Post-Exploitation Basics,https://tryhackme.com/room/postexploit,easy,walkthrough,45,75968,2020-05-26,Red,Exploitation; Penetration testing; Privilege escalation; Red teaming,Linux,BloodHound; Mimikatz,"Learn the basics of post-exploitation and maintaining access with mimikatz, bloodhound, powerview and msfvenom"
Welcome,https://tryhackme.com/room/hello,easy,walkthrough,45,72778,2020-06-12,Purple,,Web,,Learn how to use a TryHackMe room to start your upskilling in cyber security.
Splunk Basics - Did you SIEM?,https://tryhackme.com/room/splunkforloganalysis-aoc2025-x8fj2k4rqp,medium,walkthrough,60,71913,2025-12-03,Blue,Log analysis; Web application security,Linux,Splunk,Learn how to ingest and parse custom log data using Splunk.
Introduction to EDR,https://tryhackme.com/room/introductiontoedrs,easy,walkthrough,60,71392,2025-08-28,Blue,Incident handling; Incident response,Windows,,Learn the fundamentals of EDR and explore its features and working.
Ignite,https://tryhackme.com/room/ignite,easy,challenge,45,71337,2019-07-27,Red,Penetration testing,Linux; Web,Ncat,A new start-up has a few issues with their web server.
OWASP Top 10 2025: IAAA Failures,https://tryhackme.com/room/owasptopten2025one,easy,walkthrough,30,70754,2025-11-14,,,,,"Learn about A01, A07, and A09 in how they related to failures in the applied IAAA model."
TryHack3M: Bricks Heist,https://tryhackme.com/room/tryhack3mbricksheist,easy,challenge,60,70473,2024-04-15,Purple,Exploitation; Penetration testing,Linux; Web,,"Crack the code, command the exploit! Dive into the heart of the system with just an RCE CVE as your key."
Bash Scripting,https://tryhackme.com/room/bashscripting,easy,walkthrough,45,69715,2021-02-02,Purple,Security analysis; Security operations,Linux,,A Walkthrough room to teach you the basics of bash scripting
SQL Injection Lab,https://tryhackme.com/room/sqlilab,easy,walkthrough,45,68936,2021-01-26,Red,Penetration testing; Red teaming; Vulnerability analysis,Linux; Web,Burp Suite; SQLMap,Understand how SQL injection attacks work and how to exploit this vulnerability.
Advent of Cyber 2 [2020],https://tryhackme.com/room/adventofcyber2,easy,walkthrough,45,68041,2020-12-25,Purple,Exploitation; Penetration testing; Security analysis,Linux; Web; Windows,Burp Suite; Gobuster; Nmap; nc,"Get started with Cyber Security in 25 Days - Learn the basics by doing a new, beginner friendly security challenge every day leading up to Christmas."
TakeOver,https://tryhackme.com/room/takeover,easy,challenge,4,67109,2023-01-20,Red,Domain enumeration; Reconnaissance; Red teaming; Subdomain enumeration,Web,,This challenge revolves around subdomain enumeration.
Fowsniff CTF,https://tryhackme.com/room/ctf,easy,challenge,45,65189,2020-04-09,Red,Network penetration testing; Penetration testing; Vulnerability analysis,Linux,Hydra; John the Ripper; Nmap,Hack this machine and get the flag. There are lots of hints along the way and is perfect for beginners!
Security Awareness,https://tryhackme.com/room/securityawarenessintro,info,walkthrough,30,65052,2022-01-29,Blue,Incident response,Web,,"An introduction to security awareness; why its important, the impact of being attacked, different threat actors and basic account security."
Wazuh,https://tryhackme.com/room/wazuhct,medium,walkthrough,160,65041,2022-04-19,Blue,Log analysis; SIEM engineering; Security analysis,Linux; Windows,Wazuh,"Explore Wazuh: an all-in-one, free, and open-source security solution."
Red Team OPSEC,https://tryhackme.com/room/opsec,medium,walkthrough,90,64456,2021-11-23,Purple,Penetration testing; Red teaming; Risk assessment,Linux; Windows,Nmap; Wireshark,Learn how to apply Operations Security (OPSEC) process for Red Teams.
